Annee,AgeQ80,Sexe,PartPopulationMoyenne
1989,70-74 ans,1,-0.00827213589340137
1989,70-74 ans,2,0.00981254437663557
1989,75-79 ans,1,-0.0054389620754489
1989,75-79 ans,2,0.0067648455631531
1989,80 ans et plus,1,-0.00324270614196141
1989,80 ans et plus,2,0.00526225801328819
1989,Moins de 5 ans,1,-0.119225758672378
1989,Moins de 5 ans,2,0.12358432708397
1990,05-09 ans,1,-0.118595936066418
1990,05-09 ans,2,0.121065802598316
1990,10-14 ans,1,-0.104015233498874
1990,10-14 ans,2,0.106306807403928
1990,15-19 ans,1,-0.102034931562449
1990,15-19 ans,2,0.10872671007155
1990,20-24 ans,1,-0.101430101104857
1990,20-24 ans,2,0.0970422402453042
1990,25-29 ans,1,-0.0896256045929925
1990,25-29 ans,2,0.089442476622203
1990,30-34 ans,1,-0.0803620874811873
1990,30-34 ans,2,0.0777628743927623
1990,35-39 ans,1,-0.0664228399049779
1990,35-39 ans,2,0.0655187781615149
1990,40-44 ans,1,-0.0545157081800276
1990,40-44 ans,2,0.0503733034148562
1990,45-49 ans,1,-0.0463298960166895
1990,45-49 ans,2,0.042126004006821
1990,50-54 ans,1,-0.0369284923894402
1990,50-54 ans,2,0.0345984145935482
1990,55-59 ans,1,-0.0295238460011914
1990,55-59 ans,2,0.0279279093717892
1990,60-64 ans,1,-0.0211461084038546
1990,60-64 ans,2,0.0198715513544677
1990,65-69 ans,1,-0.0135348183580486
1990,65-69 ans,2,0.0152280675766829
1990,70-74 ans,1,-0.00812535309463485
1990,70-74 ans,2,0.00994672322598462
1990,75-79 ans,1,-0.00532921254819537
1990,75-79 ans,2,0.0069920319839571
1990,80 ans et plus,1,-0.00353473950203884
1990,80 ans et plus,2,0.00539358807940592
1990,Moins de 5 ans,1,-0.118545091294124
1990,Moins de 5 ans,2,0.121676716896909
1991,05-09 ans,1,-0.118114306953275
1991,05-09 ans,2,0.121723116174728
1991,10-14 ans,1,-0.103907146317729
1991,10-14 ans,2,0.106543667033207
