Annee,Subdivision,AgeQ80,Sexe,PartPopulationMoyenne
1984,Australes,55-59 ans,1,-0.0226250564067007
1984,Australes,55-59 ans,2,0.0237113531653109
1984,Australes,60-64 ans,1,-0.017365754833495
1984,Australes,60-64 ans,2,0.0173617658169201
1984,Australes,65-69 ans,1,-0.0140980398716212
1984,Australes,65-69 ans,2,0.0147621804183101
1984,Australes,70-74 ans,1,-0.00888283862435271
1984,Australes,70-74 ans,2,0.00853389237448527
1984,Australes,75-79 ans,1,-0.00582378574520135
1984,Australes,75-79 ans,2,0.0104589912467229
1984,Australes,80 ans et plus,1,-0.00401328858037555
1984,Australes,80 ans et plus,2,0.00495941657420118
1984,Australes,Moins de 5 ans,1,-0.14047614525964
1984,Australes,Moins de 5 ans,2,0.133014872193933
1984,Tuamotu-Gambier,05-09 ans,1,-0.103360342174333
1984,Tuamotu-Gambier,05-09 ans,2,0.141227453761007
1984,Tuamotu-Gambier,10-14 ans,1,-0.0958420612144182
1984,Tuamotu-Gambier,10-14 ans,2,0.133107061535073
1984,Tuamotu-Gambier,15-19 ans,1,-0.0913014933485663
1984,Tuamotu-Gambier,15-19 ans,2,0.11355309059039
1984,Tuamotu-Gambier,20-24 ans,1,-0.135076247045118
1984,Tuamotu-Gambier,20-24 ans,2,0.0892693301059718
1984,Tuamotu-Gambier,25-29 ans,1,-0.117853773477636
1984,Tuamotu-Gambier,25-29 ans,2,0.0690913468786244
1984,Tuamotu-Gambier,30-34 ans,1,-0.0893986964558581
1984,Tuamotu-Gambier,30-34 ans,2,0.0537189077685375
1984,Tuamotu-Gambier,35-39 ans,1,-0.0592639926018129
1984,Tuamotu-Gambier,35-39 ans,2,0.0370451968576729
1984,Tuamotu-Gambier,40-44 ans,1,-0.0498724527145978
1984,Tuamotu-Gambier,40-44 ans,2,0.0362635576524812
1984,Tuamotu-Gambier,45-49 ans,1,-0.0513501175411719
1984,Tuamotu-Gambier,45-49 ans,2,0.0357862207332801
1984,Tuamotu-Gambier,50-54 ans,1,-0.037092989961129
1984,Tuamotu-Gambier,50-54 ans,2,0.0359156757142154
1984,Tuamotu-Gambier,55-59 ans,1,-0.0232454078045744
1984,Tuamotu-Gambier,55-59 ans,2,0.0249222741418434
1984,Tuamotu-Gambier,60-64 ans,1,-0.0162693886974968
1984,Tuamotu-Gambier,60-64 ans,2,0.020158648061
1984,Tuamotu-Gambier,65-69 ans,1,-0.0128165640733406
1984,Tuamotu-Gambier,65-69 ans,2,0.0183994500353622
1984,Tuamotu-Gambier,70-74 ans,1,-0.0083853582247417
1984,Tuamotu-Gambier,70-74 ans,2,0.00982596537615509
1984,Tuamotu-Gambier,75-79 ans,1,-0.00454521830677242
1984,Tuamotu-Gambier,75-79 ans,2,0.00604352345944796
1984,Tuamotu-Gambier,80 ans et plus,1,-0.00192047878895568
1984,Tuamotu-Gambier,80 ans et plus,2,0.00401665422468853
1984,Tuamotu-Gambier,Moins de 5 ans,1,-0.10182012636219
1984,Tuamotu-Gambier,Moins de 5 ans,2,0.170411168354617
1985,Iles Du Vent,05-09 ans,1,-0.109068248140322
1985,Iles Du Vent,05-09 ans,2,0.11560525646882
1985,Iles Du Vent,10-14 ans,1,-0.12615054130856
1985,Iles Du Vent,10-14 ans,2,0.117644222370752
1985,Iles Du Vent,15-19 ans,1,-0.106836730511077
1985,Iles Du Vent,15-19 ans,2,0.113948941667742
1985,Iles Du Vent,20-24 ans,1,-0.102133096149325
1985,Iles Du Vent,20-24 ans,2,0.0975178882316503
1985,Iles Du Vent,25-29 ans,1,-0.0885110693382639
1985,Iles Du Vent,25-29 ans,2,0.0871848164212774
1985,Iles Du Vent,30-34 ans,1,-0.0761597995697173
1985,Iles Du Vent,30-34 ans,2,0.0762622804190646
1985,Iles Du Vent,35-39 ans,1,-0.0641960806353025
1985,Iles Du Vent,35-39 ans,2,0.0610225975813916
1985,Iles Du Vent,40-44 ans,1,-0.0546105436861087
1985,Iles Du Vent,40-44 ans,2,0.0491052062229827
1985,Iles Du Vent,45-49 ans,1,-0.0423548592283399
1985,Iles Du Vent,45-49 ans,2,0.040946505203247
1985,Iles Du Vent,50-54 ans,1,-0.0363252697387333
1985,Iles Du Vent,50-54 ans,2,0.0333700933104954
1985,Iles Du Vent,55-59 ans,1,-0.0292863017252611
1985,Iles Du Vent,55-59 ans,2,0.0294569760077654
1985,Iles Du Vent,60-64 ans,1,-0.0172540991431151
1985,Iles Du Vent,60-64 ans,2,0.0182770590142969
1985,Iles Du Vent,65-69 ans,1,-0.0106224224083919
1985,Iles Du Vent,65-69 ans,2,0.012335175816607
1985,Iles Du Vent,70-74 ans,1,-0.00797639228512182
1985,Iles Du Vent,70-74 ans,2,0.00968360613867566
1985,Iles Du Vent,75-79 ans,1,-0.00360880970284338
1985,Iles Du Vent,75-79 ans,2,0.00606811541825634
1985,Iles Du Vent,80 ans et plus,1,-0.0026222222186198
1985,Iles Du Vent,80 ans et plus,2,0.00354561537290259
1985,Iles Du Vent,Moins de 5 ans,1,-0.12263587267344
1985,Iles Du Vent,Moins de 5 ans,2,0.128240358149885
1985,Iles Sous-Le-Vent,05-09 ans,1,-0.118158219381479
1985,Iles Sous-Le-Vent,05-09 ans,2,0.101257002102393
1985,Iles Sous-Le-Vent,10-14 ans,1,-0.117842670791519
1985,Iles Sous-Le-Vent,10-14 ans,2,0.122348895188341
1985,Iles Sous-Le-Vent,15-19 ans,1,-0.11675632612518
1985,Iles Sous-Le-Vent,15-19 ans,2,0.119883612301341
1985,Iles Sous-Le-Vent,20-24 ans,1,-0.086947248146119
1985,Iles Sous-Le-Vent,20-24 ans,2,0.0976326157319226
1985,Iles Sous-Le-Vent,25-29 ans,1,-0.0834122229280748
1985,Iles Sous-Le-Vent,25-29 ans,2,0.0881841142786247
1985,Iles Sous-Le-Vent,30-34 ans,1,-0.0726086262438694
1985,Iles Sous-Le-Vent,30-34 ans,2,0.0767431591252685
1985,Iles Sous-Le-Vent,35-39 ans,1,-0.0635558029694048
1985,Iles Sous-Le-Vent,35-39 ans,2,0.0611885993355045
1985,Iles Sous-Le-Vent,40-44 ans,1,-0.0544827751877375
1985,Iles Sous-Le-Vent,40-44 ans,2,0.0503856802400265
1985,Iles Sous-Le-Vent,45-49 ans,1,-0.044033814592165
1985,Iles Sous-Le-Vent,45-49 ans,2,0.0352311084259274
1985,Iles Sous-Le-Vent,50-54 ans,1,-0.036857220621002
1985,Iles Sous-Le-Vent,50-54 ans,2,0.0339696602923265
1985,Iles Sous-Le-Vent,55-59 ans,1,-0.0265374748970745
1985,Iles Sous-Le-Vent,55-59 ans,2,0.0248570536710906
1985,Iles Sous-Le-Vent,60-64 ans,1,-0.018808781019792
1985,Iles Sous-Le-Vent,60-64 ans,2,0.0196940834797751
1985,Iles Sous-Le-Vent,65-69 ans,1,-0.0114729297193265
1985,Iles Sous-Le-Vent,65-69 ans,2,0.0128386641180423
1985,Iles Sous-Le-Vent,70-74 ans,1,-0.00925936149998262
1985,Iles Sous-Le-Vent,70-74 ans,2,0.0101677938990558
1985,Iles Sous-Le-Vent,75-79 ans,1,-0.00395564899226496
1985,Iles Sous-Le-Vent,75-79 ans,2,0.0063250232445061
1985,Iles Sous-Le-Vent,80 ans et plus,1,-0.00287670481402926
1985,Iles Sous-Le-Vent,80 ans et plus,2,0.00376383676251264
1985,Iles Sous-Le-Vent,Moins de 5 ans,1,-0.134475561473858
1985,Iles Sous-Le-Vent,Moins de 5 ans,2,0.12912723865471
1985,Marquises,05-09 ans,1,-0.134343794427085
1985,Marquises,05-09 ans,2,0.140183835672648
1985,Marquises,10-14 ans,1,-0.136353334014605
1985,Marquises,10-14 ans,2,0.143708894588511
1985,Marquises,15-19 ans,1,-0.127583414530442
1985,Marquises,15-19 ans,2,0.134039937477262
1985,Marquises,20-24 ans,1,-0.0827278627252124
1985,Marquises,20-24 ans,2,0.0840418893075174
